scenario_id,demand_point_id,demand_zone,hub_id,packages_per_hour,oneway_distance_km,roundtrip_distance_km,response_min,mission_cycle_min
S03,D_500_Haram_Makkah_0197,Haram_Makkah,HUB_015,1,3.448170594467118,6.896341188934236,4.83130066051902,37.66260132103804
S03,D_500_Haram_Makkah_0198,Haram_Makkah,HUB_015,1,3.413295843689525,6.82659168737905,4.7925509374328055,37.585101874865614
S03,D_500_Mina_0004,Mina,HUB_014,1,0.7303780989350206,1.4607561978700412,1.8115312210389116,31.623062442077824
S03,D_500_Mina_0010,Mina,HUB_014,1,1.0506412295169527,2.1012824590339054,2.1673791439077252,32.33475828781545
S03,D_500_Mina_0018,Mina,HUB_014,1,1.3291018597463615,2.658203719492723,2.476779844162624,32.95355968832525
S03,D_500_Mina_0019,Mina,HUB_014,1,1.4741021090679025,2.948204218135805,2.6378912322976693,33.27578246459534
S03,D_500_Mina_0027,Mina,HUB_041,1,0.6528257526129323,1.3056515052258646,1.7253619473477024,31.450723894695404
S03,D_500_Mina_0028,Mina,HUB_041,1,0.5418630213774521,1.0837260427549043,1.6020700237527246,31.204140047505447
S03,D_500_Mina_0038,Mina,HUB_040,1,0.589507461356037,1.179014922712074,1.6550082903955967,31.310016580791192
S03,D_500_Mina_0039,Mina,HUB_041,1,0.1226780619488142,0.2453561238976284,1.1363089577209047,30.27261791544181
S03,D_500_Mina_0049,Mina,HUB_058,1,0.3656351264983646,0.7312702529967292,1.4062612516648496,30.8125225033297
S03,D_500_Mina_0050,Mina,HUB_040,1,0.2117244011815361,0.4234488023630722,1.2352493346461513,30.4704986692923
S03,D_500_Mina_0051,Mina,HUB_041,1,0.4849921174946554,0.9699842349893107,1.5388801305496171,31.077760261099233
S03,D_500_Mina_0060,Mina,HUB_058,1,0.3532572836915204,0.7065145673830407,1.3925080929905782,30.785016185981156
S03,D_500_Mina_0061,Mina,HUB_058,1,0.4156745942467718,0.8313491884935436,1.4618606602741908,30.92372132054838
S03,D_500_Mina_0062,Mina,HUB_040,1,0.4907825701230868,0.9815651402461736,1.54531396680343,31.09062793360686
S03,D_500_Mina_0063,Mina,HUB_040,1,0.8360270571716221,1.6720541143432441,1.9289189524129133,31.85783790482583
S03,D_500_Mina_0064,Mina,HUB_040,1,1.2890261842801052,2.5780523685602104,2.4322513158667833,32.864502631733565
S03,D_500_Mina_0065,Mina,HUB_041,1,1.484085321264641,2.968170642529282,2.6489836902940453,33.29796738058809
