location_id,osm_element,osm_id,name,name_en,name_ar,display_name,map_name,category,amenity,healthcare,emergency,address,latitude,longitude,source,is_medical,is_emergency,is_candidate_hub,name_norm,lat_round5,lon_round5,possible_duplicate,osm_completeness_score
OSM_NODE_5077627038,node,5077627038,Nahdi Pharmacy,Nahdi Pharmacy,,Nahdi Pharmacy,Nahdi Pharmacy,pharmacy,pharmacy,,,,21.440174699999996,39.7956894,OpenStreetMap,True,False,False,nahdi pharmacy,21.44017,39.79569,False,80
OSM_NODE_5077629512,node,5077629512,Nahdi Pharmacy,Nahdi Pharmacy,,Nahdi Pharmacy,Nahdi Pharmacy,pharmacy,pharmacy,,,,21.4088538,39.7932683,OpenStreetMap,True,False,False,nahdi pharmacy,21.40885,39.79327,False,80
OSM_NODE_5077671912,node,5077671912,Nahdi Pharmacy,Nahdi Pharmacy,,Nahdi Pharmacy,Nahdi Pharmacy,pharmacy,pharmacy,,,,21.383271499999996,39.8709918,OpenStreetMap,True,False,False,nahdi pharmacy,21.38327,39.87099,False,80
OSM_NODE_5077681129,node,5077681129,Nahdi Pharmacy,Nahdi Pharmacy,,Nahdi Pharmacy,Nahdi Pharmacy,pharmacy,pharmacy,,,,21.3609738,39.9011829,OpenStreetMap,True,False,False,nahdi pharmacy,21.36097,39.90118,False,80
OSM_NODE_5077810152,node,5077810152,Pharmacy Kingdom Med,Pharmacy Kingdom Med,,Pharmacy Kingdom Med,Pharmacy Kingdom Med,pharmacy,pharmacy,,,,21.432854,39.8293092,OpenStreetMap,True,False,False,pharmacy kingdom med,21.43285,39.82931,False,80
OSM_NODE_5077819618,node,5077819618,باوزير,Bawazeer Pharmacy,باوزير,Bawazeer Pharmacy,Bawazeer Pharmacy,pharmacy,pharmacy,pharmacy,,,21.432039699999997,39.8285522,OpenStreetMap,True,False,False,bawazeer pharmacy,21.43204,39.82855,False,80
OSM_NODE_5084499016,node,5084499016,صيدلية المتحدة,United Pharmacy,صيدلية المتحدة,United Pharmacy,United Pharmacy,pharmacy,pharmacy,,,,21.3548878,39.891721,OpenStreetMap,True,False,False,united pharmacy,21.35489,39.89172,False,80
OSM_NODE_5084501351,node,5084501351,عمار,Ammar Pharmacy,عمار,Ammar Pharmacy,Ammar Pharmacy,pharmacy,pharmacy,,,,21.353691599999998,39.8933994,OpenStreetMap,True,False,False,ammar pharmacy,21.35369,39.8934,False,80
OSM_NODE_5084506336,node,5084506336,صيدلية سر الصحة,Pharmacy Health Secret,صيدلية سر الصحة,Pharmacy Health Secret,Pharmacy Health Secret,pharmacy,pharmacy,pharmacy,,,21.351349999999996,39.89932580000001,OpenStreetMap,True,False,False,pharmacy health secret,21.35135,39.89933,False,80
OSM_NODE_5084616457,node,5084616457,النهدي,Nahdi,النهدي,Nahdi,Nahdi,pharmacy,pharmacy,,,,21.428550099999995,39.7884479,OpenStreetMap,True,False,False,nahdi,21.42855,39.78845,False,80
OSM_NODE_5134884137,node,5134884137,مستشفى حراء,Hera General Hospital,مستشفى حراء,Hera General Hospital,Hera General Hospital,hospital,hospital,,,,21.48647619999999,39.7892145,OpenStreetMap,True,True,True,hera general hospital,21.48648,39.78921,False,80
OSM_NODE_5828839701,node,5828839701,البعثة الطبية العراقية,Iraqi medical delegation,,Iraqi medical delegation,Iraqi medical delegation,hospital,hospital,,,,21.412398400000004,39.8618606,OpenStreetMap,True,True,True,iraqi medical delegation,21.4124,39.86186,False,80
OSM_NODE_5923074192,node,5923074192,Pharmacy Rajah,,,Pharmacy Rajah,Pharmacy Rajah,pharmacy,pharmacy,pharmacy,,"18, الحديثة",21.4200807,39.8235189,OpenStreetMap,True,False,False,pharmacy rajah,21.42008,39.82352,False,100
OSM_NODE_6047258976,node,6047258976,Pharmacy Mansor,,,Pharmacy Mansor,Pharmacy Mansor,pharmacy,pharmacy,pharmacy,,,21.4132193,39.827755200000006,OpenStreetMap,True,False,False,pharmacy mansor,21.41322,39.82776,False,80
OSM_NODE_6055798022,node,6055798022,رقية,Roqia,رقية,Roqia,Roqia,pharmacy,pharmacy,pharmacy,,,21.432928099999998,39.8153972,OpenStreetMap,True,False,False,roqia,21.43293,39.8154,False,80
OSM_NODE_6139791985,node,6139791985,مركز الملك عبد اللة لغسيل الكلي,,,مركز الملك عبد اللة لغسيل الكلي,مركز الملك عبد اللة لغسيل الكلي,hospital,hospital,,,,21.3889212,39.8079877,OpenStreetMap,True,True,True,مركز الملك عبد اللة لغسيل الكلي,21.38892,39.80799,False,80
OSM_NODE_6166310287,node,6166310287,مركز الملك عبد الله لغسيل الكلي الصناعي,King Abdullah dialysis Center,,King Abdullah dialysis Center,King Abdullah dialysis Center,hospital,hospital,,,,21.418281799999995,39.7752803,OpenStreetMap,True,True,True,king abdullah dialysis center,21.41828,39.77528,False,80
OSM_NODE_6214131049,node,6214131049,Is'haq Pharmacy,,,Is'haq Pharmacy,Is'haq Pharmacy,pharmacy,pharmacy,pharmacy,,,21.413939799999998,39.8220112,OpenStreetMap,True,False,False,ishaq pharmacy,21.41394,39.82201,False,80
OSM_NODE_6214483638,node,6214483638,ضيوف مكة,Dhiouf Makkah,,Dhiouf Makkah,Dhiouf Makkah,pharmacy,pharmacy,pharmacy,,,21.419122599999998,39.8239783,OpenStreetMap,True,False,False,dhiouf makkah,21.41912,39.82398,False,80
OSM_NODE_6226079490,node,6226079490,United Pharmacy,,,United Pharmacy,United Pharmacy,pharmacy,pharmacy,pharmacy,,,21.4201178,39.8281943,OpenStreetMap,True,False,False,united pharmacy,21.42012,39.82819,False,80
OSM_NODE_6283475050,node,6283475050,صيدلية النهدي,Nahdi,صيدلية النهدي,Nahdi,Nahdi,pharmacy,pharmacy,pharmacy,,,21.41955,39.8257521,OpenStreetMap,True,False,False,nahdi,21.41955,39.82575,False,80
OSM_NODE_6286793555,node,6286793555,غاية ام القرى,,غاية ام القرى,غاية ام القرى,غاية ام القرى,pharmacy,pharmacy,pharmacy,,,21.421088599999997,39.8228881,OpenStreetMap,True,False,False,غاية ام القرى,21.42109,39.82289,False,80
OSM_NODE_6291998465,node,6291998465,النهدي,,النهدي,النهدي,النهدي,pharmacy,pharmacy,pharmacy,,,21.4202197,39.8239084,OpenStreetMap,True,False,False,النهدي,21.42022,39.82391,False,80
OSM_NODE_6312985526,node,6312985526,Nahdi Pharmacy,,,Nahdi Pharmacy,Nahdi Pharmacy,pharmacy,pharmacy,pharmacy,,,21.431888999999998,39.8291346,OpenStreetMap,True,False,False,nahdi pharmacy,21.43189,39.82913,False,80
OSM_NODE_6314589561,node,6314589561,,,,Unnamed OSM feature,Unnamed OSM feature,pharmacy,pharmacy,pharmacy,,,21.4162561,39.8279984,OpenStreetMap,True,False,False,unnamed osm feature,21.41626,39.828,False,60
OSM_NODE_6322556737,node,6322556737,Quraish Pharmacy,,,Quraish Pharmacy,Quraish Pharmacy,pharmacy,pharmacy,pharmacy,,,21.4357153,39.8183553,OpenStreetMap,True,False,False,quraish pharmacy,21.43572,39.81836,False,80
OSM_NODE_6331818623,node,6331818623,Adama Pharmacy,,,Adama Pharmacy,Adama Pharmacy,pharmacy,pharmacy,pharmacy,,,21.4115043,39.8664276,OpenStreetMap,True,False,False,adama pharmacy,21.4115,39.86643,False,80
OSM_NODE_6331888223,node,6331888223,Taher Pharmacy,,,Taher Pharmacy,Taher Pharmacy,pharmacy,pharmacy,pharmacy,,,21.413440199999997,39.8635486,OpenStreetMap,True,False,False,taher pharmacy,21.41344,39.86355,False,80
OSM_NODE_6333122478,node,6333122478,Pharmacy Dawaa,,,Pharmacy Dawaa,Pharmacy Dawaa,pharmacy,pharmacy,pharmacy,,,21.417875699999993,39.8594552,OpenStreetMap,True,False,False,pharmacy dawaa,21.41788,39.85946,False,80
OSM_NODE_6333127354,node,6333127354,Pharmacy Hekmah,,,Pharmacy Hekmah,Pharmacy Hekmah,pharmacy,pharmacy,pharmacy,,,21.4169273,39.8602783,OpenStreetMap,True,False,False,pharmacy hekmah,21.41693,39.86028,False,80
OSM_NODE_6333656535,node,6333656535,Taher Pharmacy,,,Taher Pharmacy,Taher Pharmacy,pharmacy,pharmacy,pharmacy,,,21.412711599999998,39.8642311,OpenStreetMap,True,False,False,taher pharmacy,21.41271,39.86423,False,80
OSM_NODE_6333864197,node,6333864197,الدواء,,,الدواء,الدواء,pharmacy,pharmacy,pharmacy,,,21.406476,39.8717576,OpenStreetMap,True,False,False,الدواء,21.40648,39.87176,False,80
OSM_NODE_6336211360,node,6336211360,Al Nahdi Pharmacy - 1st Floor,,,Al Nahdi Pharmacy - 1st Floor,Al Nahdi Pharmacy - 1st Floor,pharmacy,pharmacy,pharmacy,,,21.4209972,39.821869,OpenStreetMap,True,False,False,al nahdi pharmacy 1st floor,21.421,39.82187,False,80
OSM_NODE_6437181282,node,6437181282,Nahdi Pharmacy,,,Nahdi Pharmacy,Nahdi Pharmacy,pharmacy,pharmacy,pharmacy,,,21.445873999999996,39.8613946,OpenStreetMap,True,False,False,nahdi pharmacy,21.44587,39.86139,False,80
OSM_NODE_6477881085,node,6477881085,صيدلية النهدي,Nahdi Pharmacy,,Nahdi Pharmacy,Nahdi Pharmacy,pharmacy,pharmacy,,,طريق المدينة المنورة,21.570586699999996,39.7706355,OpenStreetMap,True,False,False,nahdi pharmacy,21.57059,39.77064,False,100
OSM_NODE_6536855095,node,6536855095,Nahdi Pharmacy,,,Nahdi Pharmacy,Nahdi Pharmacy,pharmacy,pharmacy,pharmacy,,,21.424090799999995,39.7981308,OpenStreetMap,True,False,False,nahdi pharmacy,21.42409,39.79813,False,80
OSM_NODE_6579860910,node,6579860910,النهدي,Al Nahdi,النهدي,Al Nahdi,Al Nahdi,pharmacy,pharmacy,pharmacy,,"Makkah al Mukarramah, 24231",21.419355099999997,39.82673630000001,OpenStreetMap,True,False,False,al nahdi,21.41936,39.82674,False,100
OSM_NODE_6587383192,node,6587383192,Al Nahdi Pharmacy,,,Al Nahdi Pharmacy,Al Nahdi Pharmacy,pharmacy,pharmacy,pharmacy,,,21.419508799999996,39.824221,OpenStreetMap,True,False,False,al nahdi pharmacy,21.41951,39.82422,False,80
OSM_NODE_6587572604,node,6587572604,Bin Hassan Pharmacy,,,Bin Hassan Pharmacy,Bin Hassan Pharmacy,pharmacy,pharmacy,pharmacy,,,21.4115762,39.8209913,OpenStreetMap,True,False,False,bin hassan pharmacy,21.41158,39.82099,False,80
OSM_NODE_6712311338,node,6712311338,Red Crescent Ambulance Station - 5,,,Red Crescent Ambulance Station - 5,Red Crescent Ambulance Station - 5,doctors,doctors,doctor,,,21.4234828,39.9010521,OpenStreetMap,True,False,False,red crescent ambulance station 5,21.42348,39.90105,False,80
