location_id,osm_element,osm_id,name,name_en,name_ar,display_name,map_name,category,amenity,healthcare,emergency,address,latitude,longitude,source,is_medical,is_emergency,is_candidate_hub,name_norm,lat_round5,lon_round5,possible_duplicate,osm_completeness_score,dist_Haram_Makkah_km,dist_Mina_km,dist_Muzdalifah_km,dist_Arafat_km,hajj_zone,flag_possible_duplicate,flag_low_completeness,flag_other_healthcare,flag_seasonal_mismatch,flag_unnamed,needs_manual_review,hub_id,candidate_hub,operational_feasibility,drone_regulatory_approval,landing_takeoff_space,charging_capability,medical_inventory_capability,facility_type_prior,hajj_zone_relevance,osm_completeness_0_1,preliminary_suitability_score,demand_cells_within_5km,uniform_weight_covered_5km,proxy_weight_covered_5km,proxy_coverage_share_5km
OSM_NODE_6139791985,node,6139791985,مركز الملك عبد اللة لغسيل الكلي,,,مركز الملك عبد اللة لغسيل الكلي,مركز الملك عبد اللة لغسيل الكلي,hospital,hospital,,,,21.3889212,39.8079877,OpenStreetMap,True,True,True,مركز الملك عبد اللة لغسيل الكلي,21.38892,39.80799,False,80,4.3154232714494505,9.236660889530986,11.112641255001671,18.430419963176412,Greater_Makkah,False,False,False,False,False,False,HUB_021,True,unknown,unknown,unknown,unknown,unknown,0.85,0.5,0.8,73.5,107,107.0,141.0508143322475,0.20507552767074702
OSM_NODE_6166310287,node,6166310287,مركز الملك عبد الله لغسيل الكلي الصناعي,King Abdullah dialysis Center,,King Abdullah dialysis Center,King Abdullah dialysis Center,hospital,hospital,,,,21.418281799999995,39.7752803,OpenStreetMap,True,True,True,king abdullah dialysis center,21.41828,39.77528,False,80,5.186473230643514,12.154402444208536,14.92291614289235,22.54180247996461,Greater_Makkah,False,False,False,False,False,False,HUB_022,True,unknown,unknown,unknown,unknown,unknown,0.85,0.5,0.8,73.5,82,82.0,105.22084690553743,0.15298189381798338
OSM_NODE_6795540585,node,6795540585,Pakistan Hajj Mission Hospital,,,Pakistan Hajj Mission Hospital,Pakistan Hajj Mission Hospital,hospital,hospital,,,,21.397025299999992,39.876904,OpenStreetMap,True,True,True,pakistan hajj mission hospital,21.39703,39.8769,False,80,6.194849287663252,2.5946334125230694,4.13693675041402,11.838073017250265,Mina,False,False,False,False,False,False,HUB_023,True,unknown,unknown,unknown,unknown,unknown,0.85,1.0,0.8,88.5,210,210.0,292.8456026058631,0.4257718522559794
OSM_NODE_8583386218,node,8583386218,مجمع مبارك الطبي المتخصص لطب الاسنان,,,مجمع مبارك الطبي المتخصص لطب الاسنان,مجمع مبارك الطبي المتخصص لطب الاسنان,hospital,hospital,hospital,,"1, Ar Ridwa Street, مكه, 24221",21.431867599999997,39.7921537,OpenStreetMap,True,True,True,مجمع مبارك الطبي المتخصص لطب الاسنان,21.43187,39.79215,False,100,3.4859317189943306,10.560111232719587,13.708202492459018,21.431005238655626,Haram_Makkah,False,False,False,False,False,False,HUB_024,True,unknown,unknown,unknown,unknown,unknown,0.85,1.0,1.0,92.5,131,131.0,173.21237785016274,0.25183562360054995
OSM_NODE_11275483327,node,11275483327,مستشفى الملك2,,,مستشفى الملك2,مستشفى الملك2,hospital,hospital,hospital,,"King Abdullah Hospital Road, مكة",21.3826364,39.8814022,OpenStreetMap,True,True,True,مستشفى الملك2,21.38264,39.8814,False,100,7.4746753154031245,3.800175902487436,3.522351075445504,10.867174884294846,Greater_Makkah,False,False,False,False,False,False,HUB_025,True,unknown,unknown,unknown,unknown,unknown,0.85,0.5,1.0,77.49999999999999,166,166.0,237.0436482084689,0.3446406989387858
OSM_NODE_11275483328,node,11275483328,مستشفى الملك1,,,مستشفى الملك1,مستشفى الملك1,hospital,hospital,hospital,,"King Abdullah Hospital Road, مكة",21.3829925,39.88210490000001,OpenStreetMap,True,True,True,مستشفى الملك1,21.38299,39.8821,False,100,7.507689746209685,3.7409897189026653,3.4455350449055135,10.80817967713203,Greater_Makkah,False,False,False,False,False,False,HUB_026,True,unknown,unknown,unknown,unknown,unknown,0.85,0.5,1.0,77.49999999999999,167,167.0,238.0436482084689,0.34609461133653835
OSM_NODE_11275483329,node,11275483329,مستشفى الملك3,,,مستشفى الملك3,مستشفى الملك3,hospital,hospital,hospital,,"King Abdullah Hospital Road, مكة",21.382329100000003,39.8807652,OpenStreetMap,True,True,True,مستشفى الملك3,21.38233,39.88077,False,100,7.444338959891542,3.85295251737602,3.592003242694162,10.921387716024794,Greater_Makkah,False,False,False,False,False,False,HUB_027,True,unknown,unknown,unknown,unknown,unknown,0.85,0.5,1.0,77.49999999999999,165,165.0,235.5094462540715,0.3424101036966312
OSM_NODE_11275483330,node,11275483330,مستشفى الملك4,,,مستشفى الملك4,مستشفى الملك4,hospital,hospital,hospital,,"King Abdullah Hospital Road, مكة",21.381935399999996,39.8814486,OpenStreetMap,True,True,True,مستشفى الملك4,21.38194,39.88145,False,100,7.526849328823697,3.8727702175300456,3.5274823361611816,10.841394517668844,Greater_Makkah,False,False,False,False,False,False,HUB_028,True,unknown,unknown,unknown,unknown,unknown,0.85,0.5,1.0,77.49999999999999,160,160.0,229.91009771986953,0.33426914144341746
OSM_NODE_11410017570,node,11410017570,,hospital turn 1,,hospital turn 1,hospital turn 1,hospital,hospital,,,,21.391287199999997,39.7627724,OpenStreetMap,True,True,True,hospital turn 1,21.39129,39.76277,False,80,7.415749382558386,13.7090580943948,15.805639672002462,23.085434678831785,Greater_Makkah,False,False,False,False,False,False,HUB_029,True,unknown,unknown,unknown,unknown,unknown,0.85,0.5,0.8,73.5,22,22.0,24.887296416938113,0.036183948807128816
OSM_NODE_11793367734,node,11793367734,مجمع الرواد الطبي العام,,,مجمع الرواد الطبي العام,مجمع الرواد الطبي العام,hospital,hospital,hospital,yes,"7310, طريق المدينة المنورة ,, مكة المكرمة, 24227",21.4505908,39.8082788,OpenStreetMap,True,True,True,مجمع الرواد الطبي العام,21.45059,39.80828,False,100,3.355473892174932,9.560641918468264,13.162714991231423,20.869132630516386,Haram_Makkah,False,False,False,False,False,False,HUB_030,True,unknown,unknown,unknown,unknown,unknown,0.85,1.0,1.0,92.5,135,135.0,176.44625407166112,0.2565373963317836
